,objectid,energiomraadeid,bygningsomraadeid,har_grunnvarme,har_fjernvarme,har_kulturminner,har_oppvarmingskarakter,har_energikarakter,har_adresse,bygning_id,bygningstype_navn,profet_bygningstype,profet_bygningsstandard,bruksareal_totalt,bebygd_areal,antall_etasjer,x,y,grunnvarme,solceller,luft_luft_varmepumpe,fjernvarme,oppgraderes,varme_finnes,reduksjon_termiskbehov,reduksjon_elektriskbehov,har_eksisterende_data,grunnvarme_meter,grunnvarme_kostnad,_nettutveksling_energi,_nettutveksling_vintereffekt,_nettutveksling_sommereffekt,_termisk_energibehov_sum,_levert_fra_kilde_sum,_fjernvarmeproduksjon_sum,_elektrisk_energibehov_sum,_kompressor_sum,_spisslast_sum,_solcelleproduksjon_sum,_termisk_energibehov_vintereffekt,_levert_fra_kilde_vintereffekt,_fjernvarmeproduksjon_vintereffekt,_elektrisk_energibehov_vintereffekt,_kompressor_vintereffekt,_spisslast_vintereffekt,_solcelleproduksjon_vintereffekt,_termisk_energibehov_sommereffekt,_levert_fra_kilde_sommereffekt,_fjernvarmeproduksjon_sommereffekt,_elektrisk_energibehov_sommereffekt,_kompressor_sommereffekt,_spisslast_sommereffekt,_solcelleproduksjon_sommereffekt,scenario,energireduksjon,effectreduksjon
10,11,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,819,91.19143062413912,,14.38397,67.270798,False,False,False,True,False,True,0,0,False,0.0,0.0,32800.0,3.0,3.0,85027.10067682741,0.0,85027.10067682741,32789.3155699473,0.0,0.0,0,3.9033532629,0.0,3.9033532629,2.9316787227,0.0,0.0,0,4.8181221270000005,0.0,4.8181221270000005,3.0679398477,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
11,12,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,455,91.19045838353107,,14.371956,67.27323,False,False,False,True,False,True,0,0,False,0.0,0.0,18200.0,2.0,2.0,47237.278153793,0.0,47237.278153793,18216.286427748502,0.0,0.0,0,2.1685295905,0.0,2.1685295905,1.6287104015,0.0,0.0,0,2.676734515,0.0,2.676734515,1.7044110264999999,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
12,13,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,820,91.21212625530787,,14.383935,67.270859,False,False,False,True,False,True,0,0,False,0.0,0.0,32800.0,3.0,3.0,85130.91887057199,0.0,85130.91887057199,32829.351364294,0.0,0.0,0,3.908119262,0.0,3.908119262,2.935258306,0.0,0.0,0,4.82400506,0.0,4.82400506,3.071685806,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
13,14,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,455,91.19085273831858,,14.371966,67.273293,False,False,False,True,False,True,0,0,False,0.0,0.0,18200.0,2.0,2.0,47237.278153793,0.0,47237.278153793,18216.286427748502,0.0,0.0,0,2.1685295905,0.0,2.1685295905,1.6287104015,0.0,0.0,0,2.676734515,0.0,2.676734515,1.7044110264999999,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
14,15,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,455,91.21156703719109,,14.383899,67.271049,False,False,False,True,False,True,0,0,False,0.0,0.0,18200.0,2.0,2.0,47237.278153793,0.0,47237.278153793,18216.286427748502,0.0,0.0,0,2.1685295905,0.0,2.1685295905,1.6287104015,0.0,0.0,0,2.676734515,0.0,2.676734515,1.7044110264999999,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
15,16,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,455,91.19043578141613,,14.370891,67.272906,False,False,False,True,False,True,0,0,False,0.0,0.0,18200.0,2.0,2.0,47237.278153793,0.0,47237.278153793,18216.286427748502,0.0,0.0,0,2.1685295905,0.0,2.1685295905,1.6287104015,0.0,0.0,0,2.676734515,0.0,2.676734515,1.7044110264999999,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
16,17,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,455,91.22451839117632,,14.383933,67.270988,False,False,False,True,False,True,0,0,False,0.0,0.0,18200.0,2.0,2.0,47237.278153793,0.0,47237.278153793,18216.286427748502,0.0,0.0,0,2.1685295905,0.0,2.1685295905,1.6287104015,0.0,0.0,0,2.676734515,0.0,2.676734515,1.7044110264999999,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
17,18,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,819,91.19027006216142,,14.365598,67.27105,False,False,False,True,False,True,0,0,False,0.0,0.0,32800.0,3.0,3.0,85027.10067682741,0.0,85027.10067682741,32789.3155699473,0.0,0.0,0,3.9033532629,0.0,3.9033532629,2.9316787227,0.0,0.0,0,4.8181221270000005,0.0,4.8181221270000005,3.0679398477,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
18,19,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,546,182.4736641405037,,14.383211,67.270959,False,False,False,True,False,True,0,0,False,0.0,0.0,21900.0,2.0,2.0,56684.7337845516,0.0,56684.7337845516,21859.5437132982,0.0,0.0,0,2.6022355086,0.0,2.6022355086,1.9544524818,0.0,0.0,0,3.212081418,0.0,3.212081418,2.0452932318,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
19,20,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,1425,356.7434731207961,,14.383062,67.270676,False,False,False,True,False,True,0,0,False,0.0,0.0,57100.0,5.0,5.0,147940.926086055,0.0,147940.926086055,57051.006944047505,0.0,0.0,0,6.7915487175,0.0,6.7915487175,5.1009062025,0.0,0.0,0,8.383179525000001,0.0,8.383179525000001,5.337990577499999,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
20,21,1,P1,,,,,,,,,Kontor,TEK10/TEK17,2049,512.6857023910882,,14.385467,67.270731,True,False,False,False,False,True,0,0,False,949.0,569400.0,393700.0,78.0,61.0,111881.91330341819,75913.68207684383,0.0,357733.59839330043,30365.472830737544,5602.758395836801,0,7.304309008500001,5.2173635775000005,0.0,76.0042764039,2.086945431,0.0,0,7.349361396000001,5.249543854285715,0.0,59.079019851000005,2.0998175417142857,0.0,0,Fjernvarme og grunnvarme,0,0
21,22,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,1728,432.5620386813101,,14.385656,67.270986,False,False,False,True,False,True,0,0,False,0.0,0.0,69200.0,6.0,6.0,179397.8387906688,0.0,179397.8387906688,69181.8526310976,0.0,0.0,0,8.2356464448,0.0,8.2356464448,6.1855199424,0.0,0.0,0,10.165708224000001,0.0,10.165708224000001,6.4730159424,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
22,23,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,864,288.3759917573921,,14.384882,67.27059,False,False,False,True,False,True,0,0,False,0.0,0.0,34600.0,3.0,3.0,89698.9193953344,0.0,89698.9193953344,34590.9263155488,0.0,0.0,0,4.1178232224,0.0,4.1178232224,3.0927599712,0.0,0.0,0,5.082854112000001,0.0,5.082854112000001,3.2365079712,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
23,24,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,820,91.22529428922783,,14.383777,67.27139,False,False,False,True,False,True,0,0,False,0.0,0.0,32800.0,3.0,3.0,85130.91887057199,0.0,85130.91887057199,32829.351364294,0.0,0.0,0,3.908119262,0.0,3.908119262,2.935258306,0.0,0.0,0,4.82400506,0.0,4.82400506,3.071685806,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
24,25,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,455,91.19049132215765,,14.383626,67.271442,False,False,False,True,False,True,0,0,False,0.0,0.0,18200.0,2.0,2.0,47237.278153793,0.0,47237.278153793,18216.286427748502,0.0,0.0,0,2.1685295905,0.0,2.1685295905,1.6287104015,0.0,0.0,0,2.676734515,0.0,2.676734515,1.7044110264999999,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
25,26,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,451,150.6505659780352,,14.383323,67.271247,False,False,False,True,False,True,0,0,False,0.0,0.0,18100.0,2.0,2.0,46822.0053788146,0.0,46822.0053788146,18056.1432503617,0.0,0.0,0,2.1494655941,0.0,2.1494655941,1.6143920683,0.0,0.0,0,2.6532027830000002,0.0,2.6532027830000002,1.6894271933,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
26,27,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,2180,545.428469860973,,14.382876,67.271254,False,False,False,True,False,True,0,0,False,0.0,0.0,87300.0,8.0,8.0,226323.662363228,0.0,226323.662363228,87278.03167580599,0.0,0.0,0,10.389878038,0.0,10.389878038,7.803491594,0.0,0.0,0,12.824793940000001,0.0,12.824793940000001,8.166189094,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
27,28,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,1093,91.21361262331101,,14.382813,67.271446,False,False,False,True,False,True,0,0,False,0.0,0.0,43800.0,4.0,4.0,113473.2857628478,0.0,113473.2857628478,43759.123220943104,0.0,0.0,0,5.2092370163,0.0,5.2092370163,3.9124845469,0.0,0.0,0,6.430045769,0.0,6.430045769,4.0943324219,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
28,29,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,820,91.26552501874878,,14.38381,67.271329,False,False,False,True,False,True,0,0,False,0.0,0.0,32800.0,3.0,3.0,85130.91887057199,0.0,85130.91887057199,32829.351364294,0.0,0.0,0,3.908119262,0.0,3.908119262,2.935258306,0.0,0.0,0,4.82400506,0.0,4.82400506,3.071685806,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
29,30,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,820,91.26567489817207,,14.383844,67.271267,False,False,False,True,False,True,0,0,False,0.0,0.0,32800.0,3.0,3.0,85130.91887057199,0.0,85130.91887057199,32829.351364294,0.0,0.0,0,3.908119262,0.0,3.908119262,2.935258306,0.0,0.0,0,4.82400506,0.0,4.82400506,3.071685806,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
30,31,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,455,91.2130934107574,,14.383592,67.271503,False,False,False,True,False,True,0,0,False,0.0,0.0,18200.0,2.0,2.0,47237.278153793,0.0,47237.278153793,18216.286427748502,0.0,0.0,0,2.1685295905,0.0,2.1685295905,1.6287104015,0.0,0.0,0,2.676734515,0.0,2.676734515,1.7044110264999999,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
31,32,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,864,288.3727686499755,,14.384443,67.271283,False,False,False,True,False,True,0,0,False,0.0,0.0,34600.0,3.0,3.0,89698.9193953344,0.0,89698.9193953344,34590.9263155488,0.0,0.0,0,4.1178232224,0.0,4.1178232224,3.0927599712,0.0,0.0,0,5.082854112000001,0.0,5.082854112000001,3.2365079712,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
32,33,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,1440,288.3725519696288,,14.384234,67.271486,False,False,False,True,False,True,0,0,False,0.0,0.0,57700.0,5.0,5.0,149498.198992224,0.0,149498.198992224,57651.54385924799,0.0,0.0,0,6.863038704,0.0,6.863038704,5.154599952,0.0,0.0,0,8.47142352,0.0,8.47142352,5.394179952,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
33,34,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,720,144.1873334493753,,14.384709,67.271655,False,False,False,True,False,True,0,0,False,0.0,0.0,28800.0,3.0,3.0,74749.099496112,0.0,74749.099496112,28825.771929623996,0.0,0.0,0,3.431519352,0.0,3.431519352,2.577299976,0.0,0.0,0,4.23571176,0.0,4.23571176,2.697089976,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
34,35,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,432,144.1865818332946,,14.38498,67.271678,False,False,False,True,False,True,0,0,False,0.0,0.0,17300.0,2.0,2.0,44849.4596976672,0.0,44849.4596976672,17295.4631577744,0.0,0.0,0,2.0589116112,0.0,2.0589116112,1.5463799856,0.0,0.0,0,2.5414270560000003,0.0,2.5414270560000003,1.6182539856,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
35,36,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,864,288.3752785663181,,14.385282,67.271648,False,False,False,True,False,True,0,0,False,0.0,0.0,34600.0,3.0,3.0,89698.9193953344,0.0,89698.9193953344,34590.9263155488,0.0,0.0,0,4.1178232224,0.0,4.1178232224,3.0927599712,0.0,0.0,0,5.082854112000001,0.0,5.082854112000001,3.2365079712,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
36,37,1,P1,,,,,,,,,Andre,TEK10/TEK17,2603,651.2473304146024,,14.351651,67.273282,False,False,False,True,False,True,0,0,False,0.0,0.0,357800.0,73.0,56.0,181541.21338506683,0.0,181541.21338506683,357779.9501594646,0.0,0.0,0,13.4970224988,0.0,13.4970224988,72.9832997646,0.0,0.0,0,14.4235546222,0.0,14.4235546222,55.7244091714,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
37,38,1,P1,,,,,,,,,Andre,TEK10/TEK17,597,597.6629626331361,,14.344257,67.270095,False,False,False,True,False,True,0,0,False,0.0,0.0,82100.0,17.0,13.0,41636.6132888532,0.0,41636.6132888532,82057.0995947754,0.0,0.0,0,3.0955522212,0.0,3.0955522212,16.7387744754,0.0,0.0,0,3.3080530578,0.0,3.3080530578,12.7804349886,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
38,39,1,P1,,,,,,,,,Kontor,TEK10/TEK17,1075,268.973130120752,,14.385461,67.271363,True,False,False,False,False,True,0,0,False,498.0,298800.0,206600.0,41.0,32.0,58698.417179685,39827.82246588929,0.0,187683.56187057,15931.128986355716,2939.4657274399997,0,3.8321777375000003,2.7372698125,0.0,39.875352432499994,1.0949079250000002,0.0,0,3.8558143000000005,2.754153071428572,0.0,30.995581425,1.1016612285714285,0.0,0,Fjernvarme og grunnvarme,0,0
39,40,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,999,333.3717545444403,,14.384777,67.271239,False,False,False,True,False,True,0,0,False,0.0,0.0,40000.0,4.0,4.0,103714.3755508554,0.0,103714.3755508554,39995.7585523533,0.0,0.0,0,4.7612331009,0.0,4.7612331009,3.5760037167,0.0,0.0,0,5.877050067,0.0,5.877050067,3.7422123416999997,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
40,41,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,720,240.3116956679722,,14.384326,67.271659,False,False,False,True,False,True,0,0,False,0.0,0.0,28800.0,3.0,3.0,74749.099496112,0.0,74749.099496112,28825.771929623996,0.0,0.0,0,3.431519352,0.0,3.431519352,2.577299976,0.0,0.0,0,4.23571176,0.0,4.23571176,2.697089976,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
41,42,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,864,288.3760301363629,,14.384538,67.270946,False,False,False,True,False,True,0,0,False,0.0,0.0,34600.0,3.0,3.0,89698.9193953344,0.0,89698.9193953344,34590.9263155488,0.0,0.0,0,4.1178232224,0.0,4.1178232224,3.0927599712,0.0,0.0,0,5.082854112000001,0.0,5.082854112000001,3.2365079712,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
42,43,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,455,91.19109183620472,,14.384729,67.270756,False,False,False,True,False,True,0,0,False,0.0,0.0,18200.0,2.0,2.0,47237.278153793,0.0,47237.278153793,18216.286427748502,0.0,0.0,0,2.1685295905,0.0,2.1685295905,1.6287104015,0.0,0.0,0,2.676734515,0.0,2.676734515,1.7044110264999999,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
43,44,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,455,91.2133027411853,,14.384694,67.270817,False,False,False,True,False,True,0,0,False,0.0,0.0,18200.0,2.0,2.0,47237.278153793,0.0,47237.278153793,18216.286427748502,0.0,0.0,0,2.1685295905,0.0,2.1685295905,1.6287104015,0.0,0.0,0,2.676734515,0.0,2.676734515,1.7044110264999999,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
44,45,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,455,91.21311981468234,,14.385068,67.271005,False,False,False,True,False,True,0,0,False,0.0,0.0,18200.0,2.0,2.0,47237.278153793,0.0,47237.278153793,18216.286427748502,0.0,0.0,0,2.1685295905,0.0,2.1685295905,1.6287104015,0.0,0.0,0,2.676734515,0.0,2.676734515,1.7044110264999999,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
45,46,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,455,91.21349670624036,,14.384751,67.270978,False,False,False,True,False,True,0,0,False,0.0,0.0,18200.0,2.0,2.0,47237.278153793,0.0,47237.278153793,18216.286427748502,0.0,0.0,0,2.1685295905,0.0,2.1685295905,1.6287104015,0.0,0.0,0,2.676734515,0.0,2.676734515,1.7044110264999999,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
46,47,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,455,91.20534220510832,,14.38491,67.270992,False,False,False,True,False,True,0,0,False,0.0,0.0,18200.0,2.0,2.0,47237.278153793,0.0,47237.278153793,18216.286427748502,0.0,0.0,0,2.1685295905,0.0,2.1685295905,1.6287104015,0.0,0.0,0,2.676734515,0.0,2.676734515,1.7044110264999999,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
47,48,1,P1,,,,,,,,,Kontor,TEK10/TEK17,504,168.2185876473182,,14.386209,67.271526,True,False,False,False,False,True,0,0,False,233.0,139800.0,96800.0,19.0,15.0,27520.0021009872,18672.765137496,0.0,87993.03737931838,7469.1060549983995,1378.1309084927998,0,1.796667516,1.28333394,0.0,18.6950489544,0.5133335760000002,0.0,0,1.807749216,1.29124944,0.0,14.531881896,0.5164997759999999,0.0,0,Fjernvarme og grunnvarme,0,0
48,49,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,720,240.3131587128233,,14.386075,67.27168,False,False,False,True,False,True,0,0,False,0.0,0.0,28800.0,3.0,3.0,74749.099496112,0.0,74749.099496112,28825.771929623996,0.0,0.0,0,3.431519352,0.0,3.431519352,2.577299976,0.0,0.0,0,4.23571176,0.0,4.23571176,2.697089976,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
49,50,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,240,120.1567439576872,,14.386463,67.27175,False,False,False,True,False,True,0,0,False,0.0,0.0,9600.0,1.0,1.0,24916.366498704003,0.0,24916.366498704003,9608.590643208,0.0,0.0,0,1.143839784,0.0,1.143839784,0.859099992,0.0,0.0,0,1.41190392,0.0,1.41190392,0.899029992,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
50,51,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,360,120.1546418283499,,14.386685,67.271566,False,False,False,True,False,True,0,0,False,0.0,0.0,14400.0,1.0,1.0,37374.549748056,0.0,37374.549748056,14412.885964811998,0.0,0.0,0,1.715759676,0.0,1.715759676,1.288649988,0.0,0.0,0,2.11785588,0.0,2.11785588,1.348544988,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
51,52,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,432,216.2826117021378,,14.386952,67.271809,False,False,False,True,False,True,0,0,False,0.0,0.0,17300.0,2.0,2.0,44849.4596976672,0.0,44849.4596976672,17295.4631577744,0.0,0.0,0,2.0589116112,0.0,2.0589116112,1.5463799856,0.0,0.0,0,2.5414270560000003,0.0,2.5414270560000003,1.6182539856,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
52,53,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,864,288.3728070424804,,14.387109,67.271657,False,False,False,True,False,True,0,0,False,0.0,0.0,34600.0,3.0,3.0,89698.9193953344,0.0,89698.9193953344,34590.9263155488,0.0,0.0,0,4.1178232224,0.0,4.1178232224,3.0927599712,0.0,0.0,0,5.082854112000001,0.0,5.082854112000001,3.2365079712,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
53,54,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,455,91.21422237518578,,14.388697,67.272062,False,False,False,True,False,True,0,0,False,0.0,0.0,18200.0,2.0,2.0,47237.278153793,0.0,47237.278153793,18216.286427748502,0.0,0.0,0,2.1685295905,0.0,2.1685295905,1.6287104015,0.0,0.0,0,2.676734515,0.0,2.676734515,1.7044110264999999,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
54,55,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,455,91.20587020080411,,14.388856,67.272075,False,False,False,True,False,True,0,0,False,0.0,0.0,18200.0,2.0,2.0,47237.278153793,0.0,47237.278153793,18216.286427748502,0.0,0.0,0,2.1685295905,0.0,2.1685295905,1.6287104015,0.0,0.0,0,2.676734515,0.0,2.676734515,1.7044110264999999,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
55,56,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,455,91.21486882649113,,14.387518,67.271921,False,False,False,True,False,True,0,0,False,0.0,0.0,18200.0,2.0,2.0,47237.278153793,0.0,47237.278153793,18216.286427748502,0.0,0.0,0,2.1685295905,0.0,2.1685295905,1.6287104015,0.0,0.0,0,2.676734515,0.0,2.676734515,1.7044110264999999,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
56,57,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,455,91.2053383982142,,14.387359,67.271908,False,False,False,True,False,True,0,0,False,0.0,0.0,18200.0,2.0,2.0,47237.278153793,0.0,47237.278153793,18216.286427748502,0.0,0.0,0,2.1685295905,0.0,2.1685295905,1.6287104015,0.0,0.0,0,2.676734515,0.0,2.676734515,1.7044110264999999,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
57,58,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,455,91.21438734730766,,14.387899,67.271709,False,False,False,True,False,True,0,0,False,0.0,0.0,18200.0,2.0,2.0,47237.278153793,0.0,47237.278153793,18216.286427748502,0.0,0.0,0,2.1685295905,0.0,2.1685295905,1.6287104015,0.0,0.0,0,2.676734515,0.0,2.676734515,1.7044110264999999,0.0,0.0,0,Fjernvarme og grunnvarme,0,0
